strategy,venue,sharpe,ci_lo,ci_hi,cagr,max_dd,dsr,pbo,accuracy,beta,alpha_ann,alpha_t,recent_24m_sharpe,trials,verdict
no_signal_ablation,cex_maker,1.0797832723691991,0.38751807909693026,1.8439230148284893,0.35767408557712455,-0.49807121430854473,0.9990793365207438,0.4857142857142857,0.5246274311694873,0.47151451327212035,0.04053981442946659,0.774649726260639,0.2480831276220853,500,REJECT: edge alive in last 24m; alpha t > 2.5 vs buy-and-hold
no_signal_ablation,cex_taker,1.0652830871702426,0.37220434764424976,1.830885889939592,0.35025869324565373,-0.500222714672759,0.9989786916157412,0.5,0.5246274311694873,0.47066534152726314,0.035256875971381094,0.679344737003277,0.23407149337974226,500,REJECT: PBO < 0.5; drawdown > -50%; edge alive in last 24m; alpha t > 2.5 vs buy-and-hold; beats no-signal ablation
buy_and_hold,cex_maker,1.0522027023886933,0.435027346002578,1.7555218002805266,0.5944962741040081,-0.865177010150554,0.6591712300112966,,0.5246274311694873,0.9999218857582628,-0.005237338608207521,-8.30732858765208,0.590891087594934,500,REJECT: DSR > 0.95; PBO < 0.5; drawdown > -50%; alpha t > 2.5 vs buy-and-hold; beats no-signal ablation
buy_and_hold,cex_taker,1.044799769064925,0.4269838695446455,1.748454350027033,0.5867976328261171,-0.8657948615704307,0.6502607676528696,,0.5246274311694873,0.9998366702218225,-0.010154435271707047,-7.70320331258641,0.580028242918977,500,REJECT: DSR > 0.95; PBO < 0.5; drawdown > -50%; alpha t > 2.5 vs buy-and-hold; beats no-signal ablation
no_signal_ablation,base_amm_realistic,1.041795972143404,0.35467280005324386,1.8101299495970133,0.3430540816001124,-0.5035724025767301,0.9988243094707531,0.5142857142857142,0.5246274311694873,0.4756731634962491,0.02749726461146974,0.5294389878567614,0.21477100083256073,500,REJECT: PBO < 0.5; drawdown > -50%; edge alive in last 24m; alpha t > 2.5 vs buy-and-hold; beats no-signal ablation
buy_and_hold,base_amm_realistic,1.0350734771541923,0.4163577668286421,1.7391748655509978,0.5767458234555207,-0.8665967712970157,0.638425519734573,,0.5246274311694873,0.9997123975645135,-0.01659520123931024,-7.149421810442591,0.5657883155311765,500,REJECT: DSR > 0.95; PBO < 0.5; drawdown > -50%; alpha t > 2.5 vs buy-and-hold; beats no-signal ablation
trend_risk_managed,cex_maker,0.920427423498201,0.13225667746781197,1.8201826027196335,0.24744979552581436,-0.6500826076092718,0.6858093203450812,0.35714285714285715,0.5357873210633947,0.3160396113226296,0.04680732563834555,0.6577753249776781,0.3284734270868881,500,REJECT: DSR > 0.95; drawdown > -50%; alpha t > 2.5 vs buy-and-hold; beats no-signal ablation
trend_risk_managed,base_amm_realistic,0.9124778568396666,0.18389226746244125,1.7607877200959088,0.24235863702417149,-0.5232845833992532,0.9498451911312529,0.24285714285714285,0.5369747899159664,0.323574504933395,0.036412183476790205,0.5380903478629808,0.20967105546925,500,REJECT: DSR > 0.95; drawdown > -50%; edge alive in last 24m; alpha t > 2.5 vs buy-and-hold; beats no-signal ablation
donchian,base_amm_realistic,0.8967115131590806,0.2139450163649222,1.5590743842627337,0.343961440787657,-0.633402317884096,0.9593685751119039,0.2714285714285714,0.5362776025236593,0.44903133958657987,0.08363767752914114,0.8127100834025545,0.3979461501617492,500,REJECT: drawdown > -50%; alpha t > 2.5 vs buy-and-hold; beats no-signal ablation
sma_cross,base_amm_realistic,0.8963907258981111,0.271576334787036,1.5863015493639454,0.39668902163974673,-0.8149950609543946,0.9920370722540979,0.5142857142857142,0.5359618717504333,0.6936462141811466,0.007689331996060492,0.0802089927889295,0.19786554869945613,500,REJECT: PBO < 0.5; drawdown > -50%; edge alive in last 24m; alpha t > 2.5 vs buy-and-hold; beats no-signal ablation
trend_risk_managed,cex_taker,0.8741250250697621,0.08241866094730452,1.7711903263632423,0.23106126440487396,-0.6554204304564872,0.5747409702991707,0.34285714285714286,0.5357873210633947,0.3160713224741116,0.03329485808544447,0.46651470111518256,0.2799772485895784,500,REJECT: DSR > 0.95; drawdown > -50%; edge alive in last 24m; alpha t > 2.5 vs buy-and-hold; beats no-signal ablation
